	region	year	no_accidents	no_casualties_dead	no_casualties_injured	licenses_count
0	Al-Baha	1993				3270
1	Al-Baha	1994				2729
2	Al-Baha	1995				2423
3	Al-Baha	1996				1468
4	Al-Baha	1997				3027
5	Al-Baha	1998				5110
6	Al-Baha	1999				4246
7	Al-Baha	2000				4832
8	Al-Baha	2001				7594
9	Al-Baha	2002				3335
10	Al-Baha	2003				3616
11	Al-Baha	2004				3410
12	Al-Baha	2005				2698
13	Al-Baha	2006				3593
14	Al-Baha	2007				997
15	Al-Baha	2008				5418
16	Al-Baha	2009				9815
17	Al-Baha	2010				7076
18	Al-Baha	2011				6450
19	Al-Baha	2012				7593
20	Al-Baha	2013				7482
21	Al-Baha	2014				7268
22	Al-Baha	2015				4856
23	Al-Baha	2016	3618.0	185.0	1227.0	4614
24	Al-Baha	2017	1414.0	134.0	1007.0	4131
25	Al-Jouf	1993				2884
26	Al-Jouf	1994				2535
27	Al-Jouf	1995				2270
28	Al-Jouf	1996				2518
29	Al-Jouf	1997				3565
30	Al-Jouf	1998				3476
31	Al-Jouf	1999				3950
32	Al-Jouf	2000				4666
33	Al-Jouf	2001				4756
34	Al-Jouf	2002				5940
35	Al-Jouf	2003				3852
36	Al-Jouf	2004				4601
37	Al-Jouf	2005				3558
38	Al-Jouf	2006				4846
39	Al-Jouf	2007				9097
40	Al-Jouf	2008				10929
41	Al-Jouf	2009				10567
42	Al-Jouf	2010				10937
43	Al-Jouf	2011				10180
44	Al-Jouf	2012				10246
45	Al-Jouf	2013				11602
46	Al-Jouf	2014				9982
47	Al-Jouf	2015				10233
48	Al-Jouf	2016	10212.0	245.0	920.0	9371
49	Al-Jouf	2017	10469.0	240.0	862.0	8091
50	Asir	1993				6226
51	Asir	1994				5185
52	Asir	1995				4889
53	Asir	1996				3319
54	Asir	1997				12204
55	Asir	1998				13220
56	Asir	1999				14625
57	Asir	2000				18622
58	Asir	2001				20321
59	Asir	2002				20417
60	Asir	2003				15693
61	Asir	2004				17947
62	Asir	2005				18565
63	Asir	2006				20330
64	Asir	2007				10835
65	Asir	2008				18800
66	Asir	2009				21582
67	Asir	2010				21835
68	Asir	2011				24515
69	Asir	2012				23136
70	Asir	2013				29730
71	Asir	2014				29552
72	Asir	2015				38567
73	Asir	2016	32684.0	983.0	2541.0	41367
74	Asir	2017	25245.0	828.0	2368.0	39133
75	Eastern Region	1993				9964
76	Eastern Region	1994				10918
77	Eastern Region	1995				7831
78	Eastern Region	1996				8461
79	Eastern Region	1997				58814
80	Eastern Region	1998				70650
